"","id","created_time","snippet","headline","news_desk","company_name"
"1",1,"2008-12-16T16:12:49+0000","The first losing quarter since Goldman went public in 1999 showed that even some of Wall Street’s most skilled operators have been hurt by the global turmoil.","Goldman Sachs Reports $2.1 Billion Quarterly Loss","Business","Goldman Sachs"
"2",2,"2008-11-29T02:03:18+0000","Goldman Sachs Group won approval for a New York State banking license to transform into a bank holding company and take deposits.","Goldman Sachs Gets N.Y. Banking License","Business","Goldman Sachs"
"3",3,"2008-12-25T19:07:15+0000","Corporations like Goldman Sachs have begun to take more seriously the economic power of women, especially in emerging markets.","Businesses See Opportunity in Empowering Women","Business","Goldman Sachs"
"4",4,"2008-12-15T01:23:02+0000","One of Wall Street’s top firms is expected to post a loss this week, and some wonder if it can ever recapture its former glory.","Goldman Is Expected to Report an End to a Profitable Run","Business","Goldman Sachs"
"5",5,"2008-12-01T05:17:41+0000","After three years at Goldman Sachs, James H. M. Sprayregen will return to Kirkland & Ellis, the law firm where he spent 16 years advising companies on bankruptcy matters.","Bankruptcy Lawyer Leaves Goldman for Law Firm","Business","Goldman Sachs"
"6",6,"2008-11-17T02:35:38+0000","The decision, requested by the bank’s executives, is likely to put heavy pressure on Goldman Sachs’s competitors to take similar action.","No Bonuses for 7 Senior Executives at Goldman","Business","Goldman Sachs"
"7",7,"2008-11-20T04:16:22+0000","If our tests mimic the real world, then higher bonuses may not only cost employers more but also discourage executives from working to the best of their ability.","What’s the Value of a Big Bonus?","OpEd","Goldman Sachs"
"8",8,"2008-11-17T19:22:30+0000","The Swiss banking giant joined Goldman Sachs in saying that its top executives would get no bonus this year as public scrutiny of bankers’ compensation intensified.","No Bonuses for Top Executives at UBS","Business","Goldman Sachs"
"9",9,"2008-11-04T23:41:36+0000","A former Goldman Sachs analyst convicted of running a $6.7 million insider-trading ring has gone missing and may have fled the United States.","Insider-Trading Mastermind May Have Fled U.S.","Business","Goldman Sachs"
"10",10,"2008-10-30T00:52:36+0000","Goldman Sachs named 94 new partners, including one of its top economists and one of its key executives in India, down from 115 employees promoted two years ago.","Fewer Rise to Partner as Goldman Is Reshaped","Business","Goldman Sachs"
"11",1,"2008-10-30T00:15:42+0000","Goldman Sachs is naming just 94 of its staff to be partners, down from 115 lucky souls two years ago.","How Goldman Will Keep Its Elite","Business","Goldman Sachs"
"12",2,"2008-10-13T20:04:43+0000","The charter would set it apart from its top competitors, who operate under a national banking charter.","Goldman Sachs Seeks New York Bank Charter","Business","Goldman Sachs"
"13",3,"2008-10-23T23:26:35+0000","Goldman Plays.","Goldman Plays Job Cut Catch-Up","Business","Goldman Sachs"
"14",4,"2008-10-18T01:00:55+0000","Alumni of the Treasury chief’s old firm, Goldman Sachs, are key to the federal response to the financial crisis.","The Guys From ‘Government Sachs’","SundayBusiness","Goldman Sachs"
"15",5,"2008-10-12T04:00:00+0000","Why has Goldman Sachs survived as its peers crumble around it? In this corporate history, Charles D. Ellis credits its culture.","Rich Bank, Poor Bank","BookReview","Goldman Sachs"
"16",6,"2008-10-11T23:59:23+0000","How Stuart Sternberg, the former Goldman Sachs partner and Tampa Bay Rays’ principal owner, has helped turn his team around.","Fan Exits Wall Street, and the Rays Profit","Sports","Goldman Sachs"
"17",7,"2008-10-06T22:29:41+0000","Byron Trott, the vice chairman of investment banking at Goldman Sachs, is perhaps the only banker Warren E. Buffett will take calls from.","When This Banker Talks, Even Buffett Listens","SpecialSections","Goldman Sachs"
"18",8,"2008-09-27T17:22:46+0000","For most of the financiers who remain, with the exception of a few superstars, the days of easy money and supersized bonuses are behind them.","Wall Street, R.I.P.: The End of an Era, Even at Goldman","SundayBusiness","Goldman Sachs"
"19",9,"2008-09-27T18:09:14+0000","An exploration of A.I.G.’s demise offers insights into the virally connected financial world that is now imploding.","Behind Insurer’s Crisis, Blind Eye to a Web of Risk","National","Goldman Sachs"
"20",10,"2008-09-27T21:24:37+0000","The death of Wall Street began when the firms moved away from their original reason for being: providing capital to American business.","The Lost Tycoons","OpEd","Goldman Sachs"
"21",1,"2008-09-26T15:46:20+0000","As the crisis unfolded, the Web sites of troubled financial institutions seemed oblivious.","Shiny Happy Bankers","Magazine","Goldman Sachs"
"22",2,"2008-09-26T22:50:44+0000","The commission’s chairman, a deregulation proponent, ended a voluntary supervision program for Wall Street.","S.E.C. Concedes Oversight Flaws Fueled Collapse","Business","Goldman Sachs"
