"","id","created_time","snippet","headline","news_desk","company_name"
"1",1,"2008-12-08T05:00:00+0000","","3M cuts 1,800 jobs","IHT News","3M"
"2",2,"2008-07-24T05:00:00+0000","","3M beats expectations with 3% rise","IHT News","3M"
"3",3,"2008-01-30T05:00:00+0000","MINNEAPOLIS (AP) — The 3M Company, which makes Scotch tape, Post-it notes and industrial adhesives, posted lower fourth-quarter earnings on Tuesday, compared with the quarter a year ago, which included a one-time gain.","3M’s Profit Falls After a 2006 Gain","Business","3M"
"4",4,"2008-12-11T18:37:25+0000","David Pogue reviews two new small video projectors, the 3M and Aiptek.","The New World of Pocket Projectors","","3M"
"5",5,"2008-12-11T18:13:13+0000","David Pogue reviews two new small video projectors, the 3M and Aiptek.","The New World of Pocket Projectors","Business","3M"
"6",6,"2008-06-13T04:00:00+0000","The organization’s first national marketing campaign, Red Cross Racing, aims to turn the more than 75 million fans of the Nascar circuit into regular blood donors.","Red Cross Reaches Out to Nascar","Business","3M"
"7",7,"2008-06-13T04:00:00+0000","The American Red Cross is finding that a little corporate sponsorship — plus a few freebies — helps to coax people to roll up their sleeves.","National Red Cross Campaign Begins as a Logo on a Stock Car","Business","3M"
"8",8,"2008-08-16T01:34:11+0000","Brian Vickers’s lap of 188.536 miles an hour in Nascar Sprint Cup qualifying at Michigan International Speedway put him on the pole for Sunday’s 3M Performance 400. It was the fifth career pole for Vickers, but the first for his team and his first...","Vickers Takes Pole at Michigan Speedway","Sports","3M"
"9",9,"2008-08-09T05:52:33+0000","Jenna Rebecca Steinhauer, a daughter of Ilene J. Steinhauer and Glenn J. Steinhauer of East Setauket, N.Y., was married on Saturday to Clinton Graydon Wallace, a son of Raven S. McCrory of East Lansing, Mich., and Bruce T. Wallace of Ann Arbor, Mi...","Jenna Steinhauer, Clinton Wallace","Society","3M"
"10",10,"2008-10-20T00:47:47+0000","Economic events for the week of Oct. 20, 2008.","Looking Ahead","Business","3M"
"11",1,"2008-07-20T04:00:00+0000","Megan Lucas Wallace, a daughter of Kathleen M. Lucas of Mill Valley, Calif., and the late George B. Wallace, who lived in Ross, Calif., was married on Saturday to Mark Howard Udis, a son of Ann L. Udis and Dr. Gary A. Udis of Fort Washington, Pa. ...","Megan Wallace, Mark Udis","Society","3M"
"12",2,"2008-02-12T05:00:00+0000","","U.S. stocks rally on Buffett's offer","IHT News","3M"
"13",3,"2008-04-16T05:00:00+0000","","Water purification companies draw investors' interest","IHT News","3M"
"14",4,"2008-12-26T17:31:59+0000","In the race to make the lithium-ion batteries that will run the electric cars of the future, the United States is losing to Asian countries, and start-ups and big companies need to band together to build a lithium-ion battery industry in the Unite...","Electric-Car Battery Makers Seek Federal Funds","","3M"
"15",5,"2008-09-29T17:26:06+0000","It isn’t describing what’s really happening with stocks.","Don’t Be Fooled by the Dow","Business","3M"
"16",6,"2008-09-06T02:45:50+0000","","Why Not ‘Stuck on You’ on the Soundtrack?","Media","3M"
"17",7,"2008-01-28T05:00:00+0000","A big week for economic news will be led off by the Federal Reserve’s announcement on interest rates on Wednesday.","This Week’s Economic Reports","Business","3M"
"18",8,"2008-12-08T03:58:04+0000","Economic events for the week of Dec. 8, 2008.","Looking Ahead","Business","3M"
"19",9,"2008-03-30T04:00:00+0000","Tired of hearing other people’s cellphone conversations? Soon you may have to watch their favorite television shows and YouTube videos, too.","Coming Soon, to Any Flat Surface Near You","SundayBusiness","3M"
"20",10,"2008-01-29T05:00:00+0000","","U.S. stocks gain as Fed opens meeting","IHT News","3M"
"21",1,"2008-02-27T19:51:08+0000","Australian broadcasters explore how drug firms influence continuing medical education.","Guess Who’s Educating Your Doctor?","Science","3M"
"22",2,"2008-07-27T15:17:26+0000","","In the news, designer cities; villas in Ibiza; U.K. mortgage woes; new Shanghai luxury market study","","3M"
"23",3,"2008-04-21T04:00:00+0000","ECONOMIC REPORTS It is a slow week for economic news, though there will be updates on the housing market with reports on existing home sales for March on Tuesday and new-home sales for March on Thursday.","The Week’s Major Economic Reports","Business","3M"
"24",4,"2008-06-08T16:26:43+0000","","News Roundup: Estate agency job cuts; Led Zeppelin’s birthplace; Spain construction hits brakes","","3M"
"25",5,"2008-05-14T05:00:00+0000","","U.S. stocks rally as a tame U.S. inflation report eased worries on rising rates","IHT News","3M"
"26",6,"2008-08-08T05:00:00+0000","","U.S. stocks post largest weekly gain since April","IHT News","3M"
"27",7,"2008-02-02T05:00:00+0000","By Thursday night, when Trio M made their New York stand in the mezzanine lounge of the Kitano Hotel, their rapport felt noticeably deeper than on the record, and the music covered a broader dynamic range.","Honoring Jazz Greats, Not Repeating Them","Culture","3M"
"28",8,"2008-10-26T05:00:00+0000","","From a strip of Scotch tape, X-rays","IHT News","3M"
"29",9,"2008-10-23T22:24:28+0000","In a tour de force of office supply physics, researchers have shown that it is possible to produce X-rays by simply unrolling Scotch tape.","Scotch Tape Unleashes X-Ray Power","Science","3M"
"30",10,"2008-12-26T12:15:06+0000","An alliance of big companies and start-ups wants Congress to give it at least $1 billion to support U.S. lithium-ion battery production for electric cars.","Electric-Car Battery Makers Seek Federal Funds","Business","3M"
"31",1,"2008-12-16T16:43:16+0000","The 30-day pilot program covers some subway windows on A train cars with red Coca-Cola signs. Transit officials say the ads deter scratched graffiti.","Subway Window Ads Alarm Some Riders","Metro","3M"
"32",2,"2008-12-16T16:56:07+0000","The 30-day pilot program covers some subway windows on A train cars with red Coca-Cola signs. Transit officials say the ads deter scratched graffiti.","Ads on Subway Windows","None","3M"
"33",3,"2008-01-25T05:00:00+0000","","Ending the Gaza siege; Deep debt; Nepal's misery; The right message","IHT News","3M"
"34",4,"2008-01-01T05:00:00+0000","Mr. Brennan became chief executive at Sears in 1986, when the company was the nation’s largest retailer.","Edward Brennan, Who Led Sears at Its Peak, Dies at 73","Business","3M"
"35",5,"2008-06-23T04:00:00+0000","Accounts.","Accounts, People, Miscellany","Business","3M"
"36",6,"2008-06-05T04:00:00+0000","Refinishing a hardwood floor is dirty and disruptive work.","Refinishing Floors With Less Mess","Home","3M"
"37",7,"2008-08-10T05:00:00+0000","","Slump puts infrastructure deals on hold","IHT News","3M"
"38",8,"2008-10-28T01:21:52+0000","Researchers will begin recruiting in January for a nationwide study that will follow more than 100,000 children for more than two decades.","21-Year Study of Children Set to Begin","Science","3M"
"39",9,"2008-12-06T00:12:55+0000","Banks have certainly fallen on hard times, but perhaps not quite as hard as a lot of people think.","Some See a Buying Opportunity in Bank Shares","Business","3M"
"40",10,"2008-01-23T05:00:00+0000","","Bowring: Profligacy is America's problem","IHT News","3M"
"41",1,"2008-08-18T05:00:00+0000","","Edwards closes in on Busch with victory at Michigan","IHT News","3M"
"42",2,"2008-02-15T05:00:00+0000","","Helping the mind to cope with novelty and overload","IHT News","3M"
"43",3,"2008-06-06T05:00:00+0000","","What is good design?","IHT News","3M"
"44",4,"2008-09-18T02:21:38+0000","A day after the Fed’s stunning takeover of A.I.G., its new managers began contemplating a breakup of the insurer’s far-flung empire and selling it off in coming months.","With Fed’s $85 Billion Loan, A.I.G. Starts to Calculate a Measured Sell-Off","Business","3M"
"45",5,"2008-09-18T11:23:42+0000","","A.I.G. Starts to Calculate a Measured Sell-Off","Business","3M"
"46",6,"2008-11-20T19:10:08+0000","Gregory Healy, the Vice President of Operations for ForSaleByOwner.com, will be answering readers’ questions about for-sale-by-owner, or FSBO, real estate sales next week.","Expert Q&A: For Sale by Owner","","3M"
"47",7,"2008-11-20T02:37:09+0000","Some of the nation’s biggest companies want Congress to roll back rules requiring them to put more money into pension funds.","After Losses,
Pensions Ask
For a Change","Business","3M"
"48",8,"2008-11-20T11:23:52+0000","","After Losses, Pensions Ask For a Change","Business","3M"
"49",9,"2008-07-27T05:00:00+0000","","Days of wild oregano and goatherds","IHT News","3M"
"50",10,"2008-07-27T04:00:00+0000","The eastern Lassithi prefecture stretches from a lush plateau of farms to dry crags overlooking blue bays, offering a porthole into a disappearing Crete and its robust geography.","Days of Wild Oregano and Goatherds","Travel","3M"
"51",1,"2009-12-26T22:00:06+0000","Companies are increasingly using face-to-face interaction to involve their customers in the innovation process.","Seeing Customers as Partners in Invention","SundayBusiness","3M"
"52",2,"2009-09-03T21:42:53+0000","A new film from 3M obscures your phone’s screen from casual busybodies.","A New Smartphone Accessory Is for Your Eyes Only","None","3M"
"53",3,"2009-09-03T21:42:53+0000","A film from 3M that obscures your phone’s screen from casual busybodies is now available in custom sizes for most phones.","A New Smartphone Accessory Is for Your Eyes Only","","3M"
"54",4,"2009-03-26T21:01:17+0000","When workers kidnap their managers.","Bossnapping","","3M"
"55",5,"2009-03-26T23:38:50+0000","A former British banker’s home was vandalized and French workers barricaded a factory manager in his office, as the economic pain deepens and tempers flare.","Hurt by Economy, Europeans Vent Their Anger","Business","3M"
"56",6,"2009-01-22T16:11:38+0000","Sharp, 3M, Corning, E-Ink and Mitsubishi talked with David Pogue about the future of display technologies earlier this month at the Consumer Electronics Show.","The Future of Display Technologies","None","3M"
"57",7,"2009-03-26T02:21:36+0000","A former British banker’s home was vandalized, and French workers barricaded a factory manager in his office.","Hurt by Economy, Europeans Vent Their Anger","Business","3M"
"58",8,"2009-01-22T15:58:53+0000","Sharp, 3M, Corning, E-Ink and Mitsubishi talked with David Pogue about the future of display technologies earlier this month at the Consumer Electronics Show.","The Future of Display Technologies","Business","3M"
"59",9,"2009-01-22T16:11:38+0000","Sharp, 3M, Corning, E-Ink and Mitsubishi talked with David Pogue about the future of display technologies earlier this month at the Consumer Electronics Show.","The Future of Display Technologies","","3M"
"60",10,"2009-01-13T05:00:00+0000","","Autodesk executive to lead Yahoo","IHT News","3M"
"61",1,"2009-04-02T23:54:28+0000","French labor experts say anxiety and a sense of injustice have prompted workers to hold executives against their will.","Taking the Boss Hostage? In France, It’s a Labor Tactic","Business","3M"
"62",2,"2009-07-22T04:16:12+0000","As head of the company that made WD-40, Mr. Barry brought the product to widespread use in homes where many new uses were found.","John S. Barry, Main Force Behind WD-40, Dies at 84","Business","3M"
"63",3,"2009-02-28T05:52:28+0000","Laura Clark Nann and Chad Robert Wolf were married Friday at Our Lady of Perpetual Help Church in Bernardsville, N.J. The Rev. Gregory Uhrig, a Roman Catholic priest, performed the ceremony.","Laura Nann, Chad Wolf","Society","3M"
"64",4,"2009-10-22T21:14:19+0000","California Energy Commission has big-screen displays in its crosshairs.","Not My TV! Big Screens’ Energy Use at Issue","","3M"
"65",5,"2009-10-22T21:14:19+0000","California Energy Commission has big-screen displays in its crosshairs.","Not My TV! Big Screens' Energy Use at Issue","None","3M"
"66",6,"2009-03-26T11:35:42+0000","","Hurt by Economy, Europeans Vent Their Anger","Business","3M"
"67",7,"2009-05-23T02:21:13+0000","Danielle Marisol Birriel and Jason Reynolds Blake were married Saturday at Castle on the Hudson, an inn in Tarrytown, N.Y. A Roman Catholic priest led the ceremony.","Danielle Birriel and Jason Blake","Society","3M"
"68",8,"2009-01-26T00:01:22+0000","Economic events for the week of Jan. 26, 2009.","Looking Ahead","Business","3M"
"69",9,"2009-08-26T17:53:01+0000","A cool new technology gives you movies and more in your campsite, bedroom or boardroom, without a bulky projector.","A Pocket Projector to Make Any Surface a Silver Screen","Business","3M"
"70",10,"2009-07-20T01:10:01+0000","SIGNALS ON THE ECONOMY In a light week, reports will include the Conference Board’s leading economic indicators for June (Monday) and existing-home sales for June (Thursday).","Looking Ahead","Business","3M"
"71",1,"2009-07-02T11:47:11+0000","The list of players still available heading into Day 2 of N.H.L. free agency.","Free Agents Still Available on Day 2","None","3M"
"72",2,"2009-02-11T17:59:17+0000","One of the many exciting demos shown at this year’s TED conference.","At TED, Virtual Worlds Collide With Reality","","3M"
"73",3,"2009-02-11T17:59:17+0000","One of the many exciting demos shown at this year's TED conference.","At TED, Virtual Worlds Collide With Reality","None","3M"
"74",4,"2009-03-31T13:37:39+0000","The incident at a Caterpillar plant in the Alps was at least the third time in the last few weeks that French workers have detained their bosses to protest job losses.","Caterpillar Workers Detain Bosses in France","Business","3M"
"75",5,"2009-07-02T11:47:11+0000","The list of players still available heading into Day 2 of N.H.L. free agency.","Free Agents Still Available on Day 2","","3M"
"76",6,"2009-01-16T23:02:09+0000","","Madoff Swept Through Minneapolis, Too","Business","3M"
"77",7,"2009-11-04T18:00:21+0000","Meguiar’s, known for its car waxes, has cast a bit further afield with a new line of “designer” car wraps. It’s called Wraptivo, and it is essentially a plastic product made by 3M that shrink-wraps onto the surface of a vehicle, with the deft use ...","SEMA Trends: That’s a Wrap","","3M"
"78",8,"2009-07-03T13:59:53+0000","Plenty of N.H.L.’ers still out there for the taking — at the right price.","Free Agents Still Available on Day 3 [updated]","","3M"
